year,eq_ret_1y,eq_vol_1y
1996,,15.51834147321977
1997,-24.36505196534825,27.72408679957814
1998,4.030878603270982,42.223076881121315
1999,60.86767329896992,24.101047581598646
2000,-26.28793360864701,25.530718015242403
2001,-30.305108644470668,28.16707005263067
2002,-9.85730772558384,28.204865023880892
2003,38.73526908289706,22.324183981007774
2004,13.742462537560884,22.190871981018525
2005,24.336705500775512,16.821091240239358
2006,5.852086273090307,20.72396574708475
2007,-5.502615379141018,15.674233315684372
2008,-26.96939529299589,44.468204325926315
2009,3.1439511717174407,25.878229057208824
2010,13.592653592448567,16.801680768702827
2011,-14.757579434168,24.248800067764755
2012,9.22024154284089,14.630117063898176
2013,25.996795091567027,20.19948899256946
2014,-6.226178873309262,15.27869559742617
2015,9.17084622988542,18.180346077939607
2016,2.7617985404472023,18.740598094065465
2017,24.264319137353386,8.00414127452978
2018,-14.101048845729169,15.804909089315474
2019,19.33777408753361,11.745407964393236
2020,15.40103884245092,25.45005876138577
2021,1.1554039571842312,14.971701549899574
2022,-17.723245851082293,19.807717611694482
2023,20.293239096972048,14.992048361671326
2024,7.034739112370647,17.596569138841904
2025,28.017531245167948,20.272921872902586
