"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","SCALE","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"IMF.RES:WEO(9.0.0)","JPN.PCPIEPCH.A","OBS_VALUE","Japan","All Items, Consumer price index (CPI), End-of-period (EoP), percent change","Annual","Units","0.264","0.546","0.868","0.511","-0.919","0.505","3.860","2.908","2.920","2.830"
"IMF.RES:WEO(9.0.0)","JPN.NGDPD.A","OBS_VALUE","Japan","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","5003.678","4930.837","5040.881","5117.995","5054.069","5039.148","4263.231","4204.573","4019.382","4279.828"
"IMF.RES:WEO(9.0.0)","JPN.PPPGDP.A","OBS_VALUE","Japan","Gross domestic product (GDP), Current prices, Purchasing power parity (PPP) international dollar, ICP benchmarks 2017-2021","Annual","Billions","5084.491","5262.255","5344.061","5404.463","5356.711","5604.066","6060.300","6362.781","6527.542","6758.231"
"IMF.RES:WEO(9.0.0)","JPN.PPPSH.A","OBS_VALUE","Japan","Gross domestic product (GDP), Purchasing power parity (PPP) international dollar, percent of world GDP, Percent, ICP benchmarks 2017-2021","Annual","Units","4.307","4.220","4.028","3.844","3.819","3.568","3.476","3.403","3.298","3.234"
"IMF.RES:WEO(9.0.0)","JPN.LP.A","OBS_VALUE","Japan","Population, Persons for countries / Index for country groups","Annual","Millions","126.960","126.746","126.495","126.221","125.849","125.492","125.063","124.482","123.890","123.291"
"IMF.RES:WEO(9.0.0)","JPN.NGDPPC.A","OBS_VALUE","Japan","Gross domestic product (GDP), Current prices, Per capita, Domestic currency","Annual","Units","4287683.071","4363632.777","4400400.278","4420120.305","4288052.921","4407205.515","4482607.919","4745289.462","4910780.151","5126519.148"
"IMF.RES:WEO(9.0.0)","JPN.NGDP_RPCH.A","OBS_VALUE","Japan","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","0.754","1.675","0.643","-0.402","-4.169","2.697","0.960","1.245","0.104","1.076"
"IMF.RES:WEO(9.0.0)","JPN.NGDPDPC.A","OBS_VALUE","Japan","Gross domestic product (GDP), Current prices, Per capita, US dollar","Annual","Units","39411.424","38903.298","39850.331","40547.967","40159.866","40155.188","34088.755","33776.442","32443.024","34713.248"
"IMF.RES:WEO(9.0.0)","JPN.NGDP_FY.A","OBS_VALUE","Japan","Gross domestic product (GDP), Current prices, Fiscal year, Domestic currency","Annual","Billions","544364.600","553073.000","556630.100","557910.900","539646.100","553068.300","560606.900","590705.100","608398.900","632053.269"
"IMF.RES:WEO(9.0.0)","JPN.TXG_RPCH.A","OBS_VALUE","Japan","Exports of goods, Volume, Free on board (FOB), Percent change","Annual","Units","1.618","6.619","3.760","-1.458","-11.637","11.907","5.546","3.268","1.124","2.927"
"IMF.RES:WEO(9.0.0)","JPN.PPPEX.A","OBS_VALUE","Japan","Rate, Domestic currency per international dollar in PPP terms, ICP benchmarks 2017-2021","Annual","Units","107.064","105.102","104.159","103.232","100.742","98.691","92.505","92.838","93.205","93.523"
"IMF.RES:WEO(9.0.0)","JPN.TX_RPCH.A","OBS_VALUE","Japan","Exports of goods and services, Volume, Free on board (FOB), Percent change","Annual","Units","1.618","6.619","3.760","-1.458","-11.637","11.907","5.546","3.268","1.124","2.927"
"IMF.RES:WEO(9.0.0)","JPN.NGSD_NGDP.A","OBS_VALUE","Japan","Gross national savings, Percent of GDP","Annual","Units","28.788","29.343","29.169","29.235","28.191","29.718","28.898","29.829","30.936","30.392"
"IMF.RES:WEO(9.0.0)","JPN.LE.A","OBS_VALUE","Japan","Employed persons, Persons for countries / Index for country groups","Annual","Millions","64.652","65.307","66.637","67.240","67.103","67.123","67.227","67.468","67.551","67.330"
"IMF.RES:WEO(9.0.0)","JPN.GGX_NGDP.A","OBS_VALUE","Japan","Expenditure, General government, Percent of GDP","Annual","Units","37.229","36.686","36.739","37.294","44.537","42.475","41.751","39.173","39.102","38.642"
"IMF.RES:WEO(9.0.0)","JPN.TMG_RPCH.A","OBS_VALUE","Japan","Imports of goods, Volume, Cost insurance freight (CIF), Percent change","Annual","Units","-1.175","3.307","3.814","0.988","-6.763","5.206","8.255","-0.848","0.972","3.635"
"IMF.RES:WEO(9.0.0)","JPN.NGDP.A","OBS_VALUE","Japan","Gross domestic product (GDP), Current prices, Domestic currency","Annual","Billions","544364.600","553073.000","556630.100","557910.900","539646.100","553068.300","560606.900","590705.100","608398.900","632053.269"
"IMF.RES:WEO(9.0.0)","JPN.NGDP_D.A","OBS_VALUE","Japan","Gross domestic product (GDP), Price deflator, Index","Annual","Units","100.411","100.336","100.336","100.973","101.916","101.708","102.114","106.273","109.342","112.384"
"IMF.RES:WEO(9.0.0)","JPN.LUR.A","OBS_VALUE","Japan","Unemployment rate","Annual","Units","3.108","2.817","2.433","2.358","2.800","2.817","2.592","2.575","2.567","2.567"
"IMF.RES:WEO(9.0.0)","JPN.NGAP_NPGDP.A","OBS_VALUE","Japan","Output gap, Percent of potential GDP","Annual","Units","0.100","1.049","1.928","0.678","-2.952","-1.616","-0.881","0.233","0.240","0.300"
