"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","COUNTERPART_COUNTRY","FREQUENCY","SCALE","2016","2016-Q1","2016-M01","2016-M02","2016-M03","2016-Q2","2016-M04","2016-M05","2016-M06","2016-Q3","2016-M07","2016-M08","2016-M09","2016-Q4","2016-M10","2016-M11","2016-M12","2017","2017-Q1","2017-M01","2017-M02","2017-M03","2017-Q2","2017-M04","2017-M05","2017-M06","2017-Q3","2017-M07","2017-M08","2017-M09","2017-Q4","2017-M10","2017-M11","2017-M12","2018","2018-Q1","2018-M01","2018-M02","2018-M03","2018-Q2","2018-M04","2018-M05","2018-M06","2018-Q3","2018-M07","2018-M08","2018-M09","2018-Q4","2018-M10","2018-M11","2018-M12","2019","2019-Q1","2019-M01","2019-M02","2019-M03","2019-Q2","2019-M04","2019-M05","2019-M06","2019-Q3","2019-M07","2019-M08","2019-M09","2019-Q4","2019-M10","2019-M11","2019-M12","2020","2020-Q1","2020-M01","2020-M02","2020-M03","2020-Q2","2020-M04","2020-M05","2020-M06","2020-Q3","2020-M07","2020-M08","2020-M09","2020-Q4","2020-M10","2020-M11","2020-M12","2021","2021-Q1","2021-M01","2021-M02","2021-M03","2021-Q2","2021-M04","2021-M05","2021-M06","2021-Q3","2021-M07","2021-M08","2021-M09","2021-Q4","2021-M10","2021-M11","2021-M12","2022","2022-Q1","2022-M01","2022-M02","2022-M03","2022-Q2","2022-M04","2022-M05","2022-M06","2022-Q3","2022-M07","2022-M08","2022-M09","2022-Q4","2022-M10","2022-M11","2022-M12","2023","2023-Q1","2023-M01","2023-M02","2023-M03","2023-Q2","2023-M04","2023-M05","2023-M06","2023-Q3","2023-M07","2023-M08","2023-M09","2023-Q4","2023-M10","2023-M11","2023-M12","2024","2024-Q1","2024-M01","2024-M02","2024-M03","2024-Q2","2024-M04","2024-M05","2024-M06","2024-Q3","2024-M07","2024-M08","2024-M09","2024-Q4","2024-M10","2024-M11","2024-M12","2025-Q1","2025-M01","2025-M02","2025-M03","2025-Q2","2025-M04","2025-M05","2025-M06","2025-M07","2025-M08"
"IMF.STA:IMTS(1.0.0)","JPN.TBG_USD.SSD.Q","OBS_VALUE","Japan","Trade balance goods, US dollar","South Sudan, Republic of","Quarterly","Millions","","0.23249","","","","","","","","","","","","","","","","","","","","","","","","","0.462136","","","","0.630428","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.91109","","","","2.486634","","","","","5.84099","","","","2.131236","","","","2.897796","","","","2.192917","","","","","2.400296","","","","-21.706026","","","","-8.668679","","","","-24.35833","","","","","-52.124305","","","","2.719986","","","","3.66183","","","","5.824164","","","","","4.412897","","","","6.399351","","","","5.992132","","","","-6.776715","","","","","7.339699","","","","8.576392","","","","-1.239785","","","","6.782039","","","","4.607475","","","","-65.529166","","","","",""
"IMF.STA:IMTS(1.0.0)","JPN.XG_FOB_USD.BRB.Q","OBS_VALUE","Japan","Exports of goods, Free on board (FOB), US dollar","Barbados","Quarterly","Millions","","7.608978","","","","9.175086","","","","9.367516","","","","10.668438","","","","","9.172043","","","","36.814196","","","","36.524171","","","","9.737658","","","","","8.331464","","","","8.134404","","","","6.902136","","","","8.794048","","","","","7.489187","","","","10.406077","","","","37.479226","","","","8.805616","","","","","38.574642","","","","58.55684","","","","5.504203","","","","7.659075","","","","","5.537182","","","","36.190205","","","","9.249379","","","","8.709071","","","","","7.994396","","","","11.656538","","","","8.332056","","","","15.446784","","","","","42.333194","","","","20.290318","","","","41.034396","","","","15.524132","","","","","49.796563","","","","19.949696","","","","19.695557","","","","20.458907","","","","18.499838","","","","99.338747","","","","",""
"IMF.STA:IMTS(1.0.0)","JPN.XG_FOB_USD.ERI.Q","OBS_VALUE","Japan","Exports of goods, Free on board (FOB), US dollar","Eritrea, The State of","Quarterly","Millions","","0.078084","","","","0.349061","","","","0.058064","","","","0.682303","","","","","0.777365","","","","0.264833","","","","0.865761","","","","0.966136","","","","","0.23542","","","","0.13996","","","","0.336825","","","","0.265146","","","","","0.194102","","","","0.249629","","","","0.005517","","","","0.49831","","","","","0.255597","","","","0.449485","","","","0.273445","","","","0.380481","","","","","0.387144","","","","0.047978","","","","0.096762","","","","0.509517","","","","","0.00296","","","","0.172021","","","","0.008068","","","","0.203893","","","","","","","","","0.05771","","","","0.049492","","","","1.211835","","","","","0.023164","","","","","","","","0.043535","","","","0.140022","","","","0.03776","","","","0.105493","","","","",""
"IMF.STA:IMTS(1.0.0)","JPN.XG_FOB_USD.NAM.Q","OBS_VALUE","Japan","Exports of goods, Free on board (FOB), US dollar","Namibia","Quarterly","Millions","","7.607614","","","","8.250099","","","","5.397311","","","","6.741277","","","","","4.968145","","","","6.890899","","","","5.116121","","","","4.752742","","","","","3.994752","","","","6.742319","","","","4.120509","","","","8.381901","","","","","2.110179","","","","6.111795","","","","6.405317","","","","7.551953","","","","","5.741368","","","","2.900215","","","","3.376065","","","","9.903682","","","","","3.991231","","","","6.74487","","","","3.45521","","","","7.679757","","","","","5.678177","","","","8.829043","","","","3.507056","","","","7.184211","","","","","5.476699","","","","7.578236","","","","6.172609","","","","6.98072","","","","","5.418422","","","","10.033979","","","","8.293812","","","","10.185685","","","","9.474298","","","","10.52178","","","","",""
"IMF.STA:IMTS(1.0.0)","JPN.XG_FOB_USD.TUR.Q","OBS_VALUE","Japan","Exports of goods, Free on board (FOB), US dollar","Türkiye, Republic of","Quarterly","Millions","","745.355539","","","","718.113652","","","","685.941986","","","","702.426227","","","","","745.456971","","","","766.537948","","","","818.118525","","","","833.848024","","","","","954.46752","","","","871.783441","","","","710.877705","","","","664.039749","","","","","619.255702","","","","566.745382","","","","608.857469","","","","719.799981","","","","","714.400625","","","","382.086601","","","","715.408269","","","","845.190628","","","","","789.914078","","","","824.220959","","","","778.220006","","","","786.515984","","","","","834.97231","","","","792.742841","","","","683.026853","","","","902.984106","","","","","911.644295","","","","1004.242574","","","","1081.776195","","","","984.443551","","","","","964.533978","","","","924.82796","","","","778.072693","","","","783.1661","","","","832.120604","","","","1007.794133","","","","",""
"IMF.STA:IMTS(1.0.0)","JPN.XG_FOB_USD.URY.Q","OBS_VALUE","Japan","Exports of goods, Free on board (FOB), US dollar","Uruguay","Quarterly","Millions","","14.279225","","","","12.041934","","","","14.524924","","","","15.41807","","","","","19.154908","","","","15.957726","","","","15.82332","","","","12.225641","","","","","15.574643","","","","17.97104","","","","17.134091","","","","13.304864","","","","","13.571865","","","","13.67174","","","","13.696344","","","","11.867091","","","","","12.614146","","","","7.552257","","","","7.125767","","","","13.083507","","","","","19.92262","","","","17.765602","","","","13.242543","","","","15.423028","","","","","19.369672","","","","13.337834","","","","17.946556","","","","19.730651","","","","","20.463575","","","","16.588347","","","","19.598328","","","","19.508637","","","","","16.38626","","","","16.153502","","","","17.463957","","","","16.733567","","","","19.205944","","","","20.051387","","","","",""
"IMF.STA:IMTS(1.0.0)","JPN.MG_CIF_USD.SVK.Q","OBS_VALUE","Japan","Imports of goods, Cost insurance freight (CIF), US dollar","Slovak Republic","Quarterly","Millions","","55.316172","","","","55.116535","","","","59.496046","","","","56.334937","","","","","40.327355","","","","53.515917","","","","61.511654","","","","62.018953","","","","","48.376256","","","","63.72141","","","","76.668989","","","","65.41958","","","","","64.610771","","","","69.293645","","","","107.100314","","","","80.784902","","","","","65.535702","","","","49.752206","","","","101.605304","","","","111.50087","","","","","82.293384","","","","125.914981","","","","84.813851","","","","81.59445","","","","","90.708424","","","","121.060435","","","","89.308249","","","","106.959045","","","","","121.937938","","","","108.121187","","","","127.8595","","","","177.951869","","","","","138.486881","","","","127.658538","","","","143.09583","","","","130.338992","","","","177.263062","","","","175.603051","","","","",""
"IMF.STA:IMTS(1.0.0)","JPN.MG_CIF_USD.TX799.Q","OBS_VALUE","Japan","Imports of goods, Cost insurance freight (CIF), US dollar","Africa not specified","Quarterly","Millions","","1.461132","","","","1.736612","","","","","","","","1.036287","","","","","1.012369","","","","1.016876","","","","1.7411","","","","0.025319","","","","","0.791082","","","","1.358344","","","","0.740066","","","","0.640137","","","","","0.584974","","","","0.635305","","","","3.34612","","","","0.371801","","","","","1.63165","","","","1.912316","","","","0.733883","","","","0.097494","","","","","0.742658","","","","0.698345","","","","3.424227","","","","0.323501","","","","","0.396187","","","","0.829597","","","","0.961242","","","","0.961028","","","","","7.684389","","","","1.339993","","","","0.386091","","","","0.793127","","","","","0.524462","","","","0.971533","","","","1.399908","","","","4.609412","","","","0.135951","","","","1.752979","","","","",""
"IMF.STA:IMTS(1.0.0)","JPN.MG_CIF_USD.PAK.Q","OBS_VALUE","Japan","Imports of goods, Cost insurance freight (CIF), US dollar","Pakistan","Quarterly","Millions","","64.096075","","","","79.574786","","","","59.007713","","","","60.828098","","","","","108.414655","","","","140.815777","","","","94.430592","","","","87.916011","","","","","89.499199","","","","133.195149","","","","66.054116","","","","65.58252","","","","","70.127015","","","","80.897469","","","","86.879684","","","","67.462215","","","","","58.77717","","","","47.572597","","","","55.575666","","","","64.480299","","","","","88.938913","","","","50.796824","","","","58.310079","","","","70.682948","","","","","88.48411","","","","59.912303","","","","73.658155","","","","87.77179","","","","","57.64367","","","","52.001206","","","","60.098355","","","","69.668029","","","","","55.99386","","","","53.737235","","","","62.871388","","","","66.070412","","","","61.425737","","","","55.399078","","","","",""
"IMF.STA:IMTS(1.0.0)","JPN.MG_CIF_USD.KOR.Q","OBS_VALUE","Japan","Imports of goods, Cost insurance freight (CIF), US dollar","Korea, Republic of","Quarterly","Millions","","5898.871481","","","","5978.703602","","","","6348.385937","","","","6791.609174","","","","","6910.517978","","","","6722.02001","","","","6957.158131","","","","7525.299989","","","","","8270.491266","","","","7847.014419","","","","7582.084258","","","","8433.708176","","","","","7492.06241","","","","7259.489117","","","","7143.620729","","","","7718.954629","","","","","7353.566902","","","","6117.504334","","","","6066.753318","","","","7031.569933","","","","","7464.403666","","","","7888.392588","","","","8081.412859","","","","8570.649961","","","","","8532.266966","","","","8279.763094","","","","8629.761808","","","","8147.574354","","","","","7635.60033","","","","7560.338563","","","","7656.869321","","","","8138.444931","","","","","7271.431366","","","","7475.811577","","","","8397.084187","","","","8303.1654","","","","7546.33362","","","","7426.412828","","","","",""
