"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","COUNTERPART_COUNTRY","FREQUENCY","SCALE","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"IMF.STA:IMTS(1.0.0)","JPN.MG_CIF_USD.AIA.A","OBS_VALUE","Japan","Imports of goods, Cost insurance freight (CIF), US dollar","Anguilla, United Kingdom-British Overseas Territory","Annual","Millions","","0.003275","","0.006364","0.009034","0.003863","","0.019089","0.004019"
"IMF.STA:IMTS(1.0.0)","JPN.MG_CIF_USD.ISL.A","OBS_VALUE","Japan","Imports of goods, Cost insurance freight (CIF), US dollar","Iceland","Annual","Millions","161.39114","172.995613","183.553801","141.036419","82.034306","132.844386","194.987545","200.242435","145.074344"
"IMF.STA:IMTS(1.0.0)","JPN.MG_CIF_USD.TX598.A","OBS_VALUE","Japan","Imports of goods, Cost insurance freight (CIF), US dollar","Asia not specified","Annual","Millions","15.450093","18.606287","22.527377","12.090189","13.909001","13.897558","12.485686","10.210523","12.935105"
"IMF.STA:IMTS(1.0.0)","JPN.MG_CIF_USD.GAB.A","OBS_VALUE","Japan","Imports of goods, Cost insurance freight (CIF), US dollar","Gabon","Annual","Millions","53.511729","66.249453","74.119644","56.551864","27.529779","35.864908","74.441102","39.10926","75.596861"
"IMF.STA:IMTS(1.0.0)","JPN.MG_CIF_USD.ASM.A","OBS_VALUE","Japan","Imports of goods, Cost insurance freight (CIF), US dollar","American Samoa","Annual","Millions","1.024344","1.70039","","0.209773","0.027832","0.037191","0.154171","0.060855","0.127824"
"IMF.STA:IMTS(1.0.0)","JPN.XG_FOB_USD.GIN.A","OBS_VALUE","Japan","Exports of goods, Free on board (FOB), US dollar","Guinea","Annual","Millions","7.455891","6.927015","17.59938","10.52833","11.362261","8.656139","8.809248","7.792098","9.670697"
"IMF.STA:IMTS(1.0.0)","JPN.MG_CIF_USD.TUN.A","OBS_VALUE","Japan","Imports of goods, Cost insurance freight (CIF), US dollar","Tunisia","Annual","Millions","96.978454","93.072242","91.061242","103.900035","97.974654","109.202007","141.475879","135.926919","132.141383"
"IMF.STA:IMTS(1.0.0)","JPN.MG_CIF_USD.GNQ.A","OBS_VALUE","Japan","Imports of goods, Cost insurance freight (CIF), US dollar","Equatorial Guinea, Republic of","Annual","Millions","120.684424","161.553346","49.490854","33.729446","0.048837","163.857551","113.138237","170.761923","193.989682"
"IMF.STA:IMTS(1.0.0)","JPN.MG_CIF_USD.FLK.A","OBS_VALUE","Japan","Imports of goods, Cost insurance freight (CIF), US dollar","Falkland Islands (Malvinas)","Annual","Millions","0.340263","0.988427","3.239741","3.059558","1.855798","1.658566","1.35601","2.656301","2.264918"
"IMF.STA:IMTS(1.0.0)","JPN.XG_FOB_USD.MAC.A","OBS_VALUE","Japan","Exports of goods, Free on board (FOB), US dollar","Macao Special Administrative Region, People's Republic of China","Annual","Millions","300.522946","429.111257","608.871075","340.216758","295.780622","354.247531","462.065293","470.385273","416.469379"
"IMF.STA:IMTS(1.0.0)","JPN.XG_FOB_USD.CPV.A","OBS_VALUE","Japan","Exports of goods, Free on board (FOB), US dollar","Cabo Verde","Annual","Millions","5.154294","5.386878","8.561243","3.93199","3.645401","4.031039","4.354177","5.144568","6.617245"
"IMF.STA:IMTS(1.0.0)","JPN.XG_FOB_USD.MRT.A","OBS_VALUE","Japan","Exports of goods, Free on board (FOB), US dollar","Mauritania, Islamic Republic of","Annual","Millions","11.552175","21.725472","16.69856","23.373154","15.804766","17.306784","24.772094","20.727131","25.008846"
