year,reer
2016,78.921578578252
2017,75.1528884490593
2018,74.4819622123965
2019,76.6207325756054
2020,77.3097599519564
2021,70.6903929160504
2022,61.1902645366518
2023,58.1253175353179
2024,55.023063697087
